id,player,age,team,total_games,games_started,minutes_played,points_per_game
409,Jodie Meeks,30,WAS,77,0,14.5,6.3
410,Salah Mejri,31,DAL,61,1,12,3.5
411,Jordan Mickey,23,MIA,23,3,12.3,4
412,Khris Middleton,26,MIL,82,82,36.4,20.1
413,C.J. Miles,30,TOR,70,3,19.1,10
414,Darius Miller,27,NOP,82,3,23.7,7.8
415,Malcolm Miller,24,TOR,15,4,8.4,2.5
416,Patty Mills,29,SAS,82,36,25.7,10
417,Paul Millsap,32,DEN,38,37,30.1,14.6
418,Nikola Mirotić,26,TOT,55,14,27.2,15.6
419,Nikola Mirotić,26,CHI,25,3,24.9,16.8
420,Nikola Mirotić,26,NOP,30,11,29.1,14.6
421,Donovan Mitchell,21,UTA,79,71,33.4,20.5
422,Naz Mitrou-Long,24,UTA,1,0,1,3
423,Malik Monk,19,CHO,63,0,13.6,6.7
424,Greg Monroe,27,TOT,51,14,20.4,10.3
425,Greg Monroe,27,MIL,5,0,15.8,6.8
426,Greg Monroe,27,PHO,20,14,23.3,11.3
427,Greg Monroe,27,BOS,26,0,19.1,10.2
428,Luis Montero,24,DET,2,0,4,0
429,Ben Moore,22,IND,2,0,4.5,0
430,E'Twaun Moore,28,NOP,82,80,31.5,12.5
431,Eric Moreland,26,DET,67,3,12,2.1
432,Jaylen Morris,22,ATL,6,0,16.3,4.7
433,Marcus Morris,28,BOS,54,21,26.8,13.6
434,Markieff Morris,28,WAS,73,73,27,11.5
435,Monte Morris,22,DEN,3,0,8.3,3.3
436,Johnathan Motley,22,DAL,11,4,16,8.7
437,Timofey Mozgov,31,BRK,31,13,11.6,4.2
438,Emmanuel Mudiay,21,TOT,64,14,19.5,8.6
439,Emmanuel Mudiay,21,DEN,42,0,17.9,8.5
440,Emmanuel Mudiay,21,NYK,22,14,22.4,8.8
441,Shabazz Muhammad,25,TOT,43,2,9.7,5
442,Shabazz Muhammad,25,MIN,32,2,9.4,3.8
443,Shabazz Muhammad,25,MIL,11,0,10.6,8.5
444,Xavier Munford,25,MIL,6,0,3.5,0.5
445,Dejounte Murray,21,SAS,81,48,21.5,8.1
446,Jamal Murray,20,DEN,81,80,31.7,16.7
447,Mike Muscala,26,ATL,53,7,20,7.6
448,Abdel Nader,24,BOS,48,1,10.9,3
449,Larry Nance Jr.,25,TOT,66,27,21.5,8.7
450,Larry Nance Jr.,25,LAL,42,17,22,8.6
451,Larry Nance Jr.,25,CLE,24,10,20.8,8.9
452,Shabazz Napier,26,POR,74,10,20.7,8.7
453,Jameer Nelson,35,TOT,50,0,20.3,4.9
454,Jameer Nelson,35,NOP,43,0,20.9,5.1
455,Jameer Nelson,35,DET,7,0,16.6,3.7
456,Raul Neto,25,UTA,41,0,12.1,4.5
457,Georges Niang,24,UTA,9,0,3.6,1
458,Joakim Noah,32,NYK,7,0,5.7,1.7
459,Nerlens Noel,23,DAL,30,6,15.7,4.4
460,Lucas Nogueira,25,TOR,49,3,8.5,2.5
461,Dirk Nowitzki,39,DAL,77,77,24.7,12
462,Frank Ntilikina,19,NYK,78,9,21.9,5.9
463,Jusuf Nurkić,23,POR,79,79,26.4,14.3
464,David Nwaba,25,CHI,70,21,23.5,7.9
465,Johnny O'Bryant,24,CHO,36,0,10.5,4.8
466,Royce O'Neale,24,UTA,69,4,16.7,5
